!DownloadDisplay,Copyright,Country,Dataset (Source/Database Name),Definition,Forecast Starts From,Indicators,Methodology Notes,Quantity,Year,Min. Sort order
-3.00%,"Historical data has been sourced from 'Central Agency for Public Mobilization and Statistics ' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Agency for Public Mobilization and Statistics,A consumer price index (CPI) measures changes in the price level of consumer goods and services purchased by households,2019,Consumer price inflation (%),"Data obtained from the above mentioned sources is used to construct a base dataset. For the current year, data is forecasted using the quarterly/monthly series from national statistical organizations and central banks. For later years, multiple forecasts are derived using consensus approach, various smoothing and autoregressive models in the time series framework and the values are benchmarked using data from national and international sources. Final forecasts are chosen from alternative scenarios based on measures of forecasting accuracy and economic significance.",Number,1962,6
-1.67%,"Historical data has been sourced from 'Central Agency for Public Mobilization and Statistics ' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Agency for Public Mobilization and Statistics,A consumer price index (CPI) measures changes in the price level of consumer goods and services purchased by households,2019,Consumer price inflation (%),"Data obtained from the above mentioned sources is used to construct a base dataset. For the current year, data is forecasted using the quarterly/monthly series from national statistical organizations and central banks. For later years, multiple forecasts are derived using consensus approach, various smoothing and autoregressive models in the time series framework and the values are benchmarked using data from national and international sources. Final forecasts are chosen from alternative scenarios based on measures of forecasting accuracy and economic significance.",Number,1968,6
29.50%,"Historical data has been sourced from 'Central Agency for Public Mobilization and Statistics ' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Agency for Public Mobilization and Statistics,A consumer price index (CPI) measures changes in the price level of consumer goods and services purchased by households,2019,Consumer price inflation (%),"Data obtained from the above mentioned sources is used to construct a base dataset. For the current year, data is forecasted using the quarterly/monthly series from national statistical organizations and central banks. For later years, multiple forecasts are derived using consensus approach, various smoothing and autoregressive models in the time series framework and the values are benchmarked using data from national and international sources. Final forecasts are chosen from alternative scenarios based on measures of forecasting accuracy and economic significance.",Number,2017,6
23.86%,"Historical data has been sourced from 'Central Agency for Public Mobilization and Statistics ' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Agency for Public Mobilization and Statistics,A consumer price index (CPI) measures changes in the price level of consumer goods and services purchased by households,2019,Consumer price inflation (%),"Data obtained from the above mentioned sources is used to construct a base dataset. For the current year, data is forecasted using the quarterly/monthly series from national statistical organizations and central banks. For later years, multiple forecasts are derived using consensus approach, various smoothing and autoregressive models in the time series framework and the values are benchmarked using data from national and international sources. Final forecasts are chosen from alternative scenarios based on measures of forecasting accuracy and economic significance.",Number,1986,6
21.26%,"Historical data has been sourced from 'Central Agency for Public Mobilization and Statistics ' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Agency for Public Mobilization and Statistics,A consumer price index (CPI) measures changes in the price level of consumer goods and services purchased by households,2019,Consumer price inflation (%),"Data obtained from the above mentioned sources is used to construct a base dataset. For the current year, data is forecasted using the quarterly/monthly series from national statistical organizations and central banks. For later years, multiple forecasts are derived using consensus approach, various smoothing and autoregressive models in the time series framework and the values are benchmarked using data from national and international sources. Final forecasts are chosen from alternative scenarios based on measures of forecasting accuracy and economic significance.",Number,1989,6
20.81%,"Historical data has been sourced from 'Central Agency for Public Mobilization and Statistics ' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Agency for Public Mobilization and Statistics,A consumer price index (CPI) measures changes in the price level of consumer goods and services purchased by households,2019,Consumer price inflation (%),"Data obtained from the above mentioned sources is used to construct a base dataset. For the current year, data is forecasted using the quarterly/monthly series from national statistical organizations and central banks. For later years, multiple forecasts are derived using consensus approach, various smoothing and autoregressive models in the time series framework and the values are benchmarked using data from national and international sources. Final forecasts are chosen from alternative scenarios based on measures of forecasting accuracy and economic significance.",Number,1980,6
19.74%,"Historical data has been sourced from 'Central Agency for Public Mobilization and Statistics ' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Agency for Public Mobilization and Statistics,A consumer price index (CPI) measures changes in the price level of consumer goods and services purchased by households,2019,Consumer price inflation (%),"Data obtained from the above mentioned sources is used to construct a base dataset. For the current year, data is forecasted using the quarterly/monthly series from national statistical organizations and central banks. For later years, multiple forecasts are derived using consensus approach, various smoothing and autoregressive models in the time series framework and the values are benchmarked using data from national and international sources. Final forecasts are chosen from alternative scenarios based on measures of forecasting accuracy and economic significance.",Number,1991,6
19.69%,"Historical data has been sourced from 'Central Agency for Public Mobilization and Statistics ' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Agency for Public Mobilization and Statistics,A consumer price index (CPI) measures changes in the price level of consumer goods and services purchased by households,2019,Consumer price inflation (%),"Data obtained from the above mentioned sources is used to construct a base dataset. For the current year, data is forecasted using the quarterly/monthly series from national statistical organizations and central banks. For later years, multiple forecasts are derived using consensus approach, various smoothing and autoregressive models in the time series framework and the values are benchmarked using data from national and international sources. Final forecasts are chosen from alternative scenarios based on measures of forecasting accuracy and economic significance.",Number,1987,6
18.31%,"Historical data has been sourced from 'Central Agency for Public Mobilization and Statistics ' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Agency for Public Mobilization and Statistics,A consumer price index (CPI) measures changes in the price level of consumer goods and services purchased by households,2019,Consumer price inflation (%),"Data obtained from the above mentioned sources is used to construct a base dataset. For the current year, data is forecasted using the quarterly/monthly series from national statistical organizations and central banks. For later years, multiple forecasts are derived using consensus approach, various smoothing and autoregressive models in the time series framework and the values are benchmarked using data from national and international sources. Final forecasts are chosen from alternative scenarios based on measures of forecasting accuracy and economic significance.",Number,2008,6
17.66%,"Historical data has been sourced from 'Central Agency for Public Mobilization and Statistics ' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Agency for Public Mobilization and Statistics,A consumer price index (CPI) measures changes in the price level of consumer goods and services purchased by households,2019,Consumer price inflation (%),"Data obtained from the above mentioned sources is used to construct a base dataset. For the current year, data is forecasted using the quarterly/monthly series from national statistical organizations and central banks. For later years, multiple forecasts are derived using consensus approach, various smoothing and autoregressive models in the time series framework and the values are benchmarked using data from national and international sources. Final forecasts are chosen from alternative scenarios based on measures of forecasting accuracy and economic significance.",Number,1988,6
