!DownloadDisplay,Copyright,Country,Dataset (Source/Database Name),Definition,Forecast Starts From,Indicators,Methodology Notes,Quantity,Year,Min. Sort order
"982,528","The data has been sourced from 'World Travel and Tourism Council', compiled by GlobalData and there are no restrictions to reproduce this data",Egypt,World Travel and Tourism Council,The indicator refers to number of jobs generated directly in travel and tourism industry plus indirect and induced contribution for the respective year.,2017,Employment in Tourism, ,Number,2015,910
"953,229","The data has been sourced from 'World Travel and Tourism Council', compiled by GlobalData and there are no restrictions to reproduce this data",Egypt,World Travel and Tourism Council,The indicator refers to number of jobs generated directly in travel and tourism industry plus indirect and induced contribution for the respective year.,2017,Employment in Tourism, ,Number,2013,910
"853,477","The data has been sourced from 'World Travel and Tourism Council', compiled by GlobalData and there are no restrictions to reproduce this data",Egypt,World Travel and Tourism Council,The indicator refers to number of jobs generated directly in travel and tourism industry plus indirect and induced contribution for the respective year.,2017,Employment in Tourism, ,Number,1997,910
"840,288","The data has been sourced from 'World Travel and Tourism Council', compiled by GlobalData and there are no restrictions to reproduce this data",Egypt,World Travel and Tourism Council,The indicator refers to number of jobs generated directly in travel and tourism industry plus indirect and induced contribution for the respective year.,2017,Employment in Tourism, ,Number,1996,910
"823,047","The data has been sourced from 'World Travel and Tourism Council', compiled by GlobalData and there are no restrictions to reproduce this data",Egypt,World Travel and Tourism Council,The indicator refers to number of jobs generated directly in travel and tourism industry plus indirect and induced contribution for the respective year.,2017,Employment in Tourism, ,Number,2016,910
"772,850","The data has been sourced from 'World Travel and Tourism Council', compiled by GlobalData and there are no restrictions to reproduce this data",Egypt,World Travel and Tourism Council,The indicator refers to number of jobs generated directly in travel and tourism industry plus indirect and induced contribution for the respective year.,2017,Employment in Tourism, ,Number,1998,910
"744,584","The data has been sourced from 'World Travel and Tourism Council', compiled by GlobalData and there are no restrictions to reproduce this data",Egypt,World Travel and Tourism Council,The indicator refers to number of jobs generated directly in travel and tourism industry plus indirect and induced contribution for the respective year.,2017,Employment in Tourism, ,Number,1995,910
"1,820,820","The data has been sourced from 'World Travel and Tourism Council', compiled by GlobalData and there are no restrictions to reproduce this data",Egypt,World Travel and Tourism Council,The indicator refers to number of jobs generated directly in travel and tourism industry plus indirect and induced contribution for the respective year.,2017,Employment in Tourism, ,Number,2007,910
"1,817,860","The data has been sourced from 'World Travel and Tourism Council', compiled by GlobalData and there are no restrictions to reproduce this data",Egypt,World Travel and Tourism Council,The indicator refers to number of jobs generated directly in travel and tourism industry plus indirect and induced contribution for the respective year.,2017,Employment in Tourism, ,Number,2008,910
"1,696,970","The data has been sourced from 'World Travel and Tourism Council', compiled by GlobalData and there are no restrictions to reproduce this data",Egypt,World Travel and Tourism Council,The indicator refers to number of jobs generated directly in travel and tourism industry plus indirect and induced contribution for the respective year.,2017,Employment in Tourism, ,Number,2010,910
"1,695,230","The data has been sourced from 'World Travel and Tourism Council', compiled by GlobalData and there are no restrictions to reproduce this data",Egypt,World Travel and Tourism Council,The indicator refers to number of jobs generated directly in travel and tourism industry plus indirect and induced contribution for the respective year.,2017,Employment in Tourism, ,Number,2005,910
"1,683,410","The data has been sourced from 'World Travel and Tourism Council', compiled by GlobalData and there are no restrictions to reproduce this data",Egypt,World Travel and Tourism Council,The indicator refers to number of jobs generated directly in travel and tourism industry plus indirect and induced contribution for the respective year.,2017,Employment in Tourism, ,Number,2004,910
"1,676,990","The data has been sourced from 'World Travel and Tourism Council', compiled by GlobalData and there are no restrictions to reproduce this data",Egypt,World Travel and Tourism Council,The indicator refers to number of jobs generated directly in travel and tourism industry plus indirect and induced contribution for the respective year.,2017,Employment in Tourism, ,Number,2006,910
"1,655,360","The data has been sourced from 'World Travel and Tourism Council', compiled by GlobalData and there are no restrictions to reproduce this data",Egypt,World Travel and Tourism Council,The indicator refers to number of jobs generated directly in travel and tourism industry plus indirect and induced contribution for the respective year.,2017,Employment in Tourism, ,Number,2009,910
"1,343,860","The data has been sourced from 'World Travel and Tourism Council', compiled by GlobalData and there are no restrictions to reproduce this data",Egypt,World Travel and Tourism Council,The indicator refers to number of jobs generated directly in travel and tourism industry plus indirect and induced contribution for the respective year.,2017,Employment in Tourism, ,Number,2003,910
"1,252,200","The data has been sourced from 'World Travel and Tourism Council', compiled by GlobalData and there are no restrictions to reproduce this data",Egypt,World Travel and Tourism Council,The indicator refers to number of jobs generated directly in travel and tourism industry plus indirect and induced contribution for the respective year.,2017,Employment in Tourism, ,Number,2025,910
