"Date","EGP=X.Adjusted"
"2001-05-29",3.8875
"2001-05-30",3.8875
"2001-05-31",3.8875
"2001-06-01",3.8875
"2001-06-04",3.87425
"2001-06-05",3.8743
"2001-06-06",3.8743
"2001-06-07",3.8743
"2001-06-08",3.8743
"2001-06-11",3.8743
"2001-06-12",3.8825
"2001-06-13",3.8793
"2001-06-14",3.8835
"2001-06-15",3.8843
"2001-06-18",3.8825
"2001-06-19",3.8743
"2001-06-20",3.8743
"2001-06-21",3.8843
"2001-06-22",3.8843
"2001-06-25",3.8843
"2001-06-26",3.8793
"2001-06-27",3.8743
"2001-06-28",3.8793
"2001-06-29",3.898
"2001-07-02",3.8743
"2001-07-03",3.9672
"2001-07-04",3.93
"2001-07-05",3.9468
"2001-07-06",3.9468
"2001-07-09",3.9468
"2001-07-10",3.9485
"2001-07-11",3.9485
"2001-07-12",3.9468
"2001-07-13",3.9468
"2001-07-16",3.9485
"2001-07-17",3.9485
"2001-07-18",3.9485
"2001-07-19",3.9485
"2001-07-20",3.9485
"2001-07-23",3.9493
"2001-07-24",3.9485
"2001-07-25",3.9485
"2001-07-26",3.9485
"2001-07-27",3.9485
"2001-07-30",3.9485
"2001-07-31",3.9485
"2001-08-01",3.9568
"2001-08-02",3.9485
"2001-08-03",3.9485
"2001-08-06",4.23
"2001-08-07",4.215
"2001-08-08",4.2225
"2001-08-09",4.21
"2001-08-10",4.2119
"2001-08-13",4.225
"2001-08-14",4.225
"2001-08-15",4.245
"2001-08-16",4.21
"2001-08-17",4.21
"2001-08-20",4.235
"2001-08-21",4.2588
"2001-08-22",4.2548
"2001-08-23",4.2573
"2001-08-24",4.2623
"2001-08-27",4.2595
"2001-08-28",4.2623
"2001-08-29",4.2623
"2001-08-30",4.2623
"2001-08-31",4.2623
"2001-09-03",4.2588
"2001-09-04",4.2623
"2001-09-05",4.2673
"2001-09-06",4.2623
"2001-09-07",4.2623
"2001-09-10",4.2623
"2001-09-11",4.2623
"2001-09-12",4.2623
"2001-09-13",4.25
"2001-09-14",4.25
"2001-09-17",4.256
"2001-09-18",4.2723
"2001-09-19",4.256
"2001-09-20",4.256
"2001-09-21",4.256
"2001-09-24",4.25
"2001-09-25",4.256
