!DownloadDisplay,Copyright,Country,Dataset (Source/Database Name),Definition,Forecast Starts From,Indicators,Methodology Notes,Quantity,Year,Min. Sort order
"999,597.98","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,2021,16
"942,986.34","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,2020,16
890,"Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,1974,16
"889,580.88","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,2019,16
"839,200","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,2018,16
"565,600","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,2017,16
532.20,"Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,1973,16
452.49,"Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,1972,16
447,"Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,1971,16
433.80,"Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,1970,16
419.30,"Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,1966,16
410.39,"Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,1965,16
