!DownloadDisplay,Copyright,Country,Dataset (Source/Database Name),Definition,Forecast Starts From,Indicators,Methodology Notes,Quantity,Year,Min. Sort order
-11.28,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,1987,189
-8.43,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,1979,189
-6.27,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,2012,189
-3.97,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,1980,189
-3.97,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,1976,189
-0.99,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,1977,189
-0.72,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,1978,189
-0.54,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,2011,189
-0.17,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,1989,189
-0.07,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,2007,189
13.64,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,1981,189
11.99,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,1999,189
11.21,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,2001,189
10.27,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,2002,189
9.10,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,1993,189
8.78,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,1998,189
7.91,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,1996,189
7.89,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,2000,189
7.43,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,1994,189
6.91,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,2016,189
6.53,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,2005,189
6.32,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,2003,189
6.19,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,1983,189
5.46,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,1985,189
5.34,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,1982,189
4.89,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,2006,189
4.55,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,1995,189
3.56,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,1997,189
3.45,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,1984,189
3.29,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,2013,189
2.94,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,1988,189
1.96,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,1986,189
1.54,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,2015,189
