!DownloadDisplay,Copyright,Country,Dataset (Source/Database Name),Definition,Forecast Starts From,Indicators,Methodology Notes,Quantity,Year,Min. Sort order
-13.34%,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Data refers to budget surplus or deficit as percent of GDP. The indicator is calculated as the difference between total revenue and total expenditure, including capital expenditure (in particular, gross fixed capital formation). A positive figure indicates a surplus and a negative figure indicates a deficit",2019,Public sector finances: budget surplus/deficit (% of GDP),Forecast data has been derived using the trends of General government net lending/borrowing and Nominal GDP USD. Historical data has been directly sourced from NSOs.,Number,2016,170
-13.4%,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Data refers to budget surplus or deficit as percent of GDP. The indicator is calculated as the difference between total revenue and total expenditure, including capital expenditure (in particular, gross fixed capital formation). A positive figure indicates a surplus and a negative figure indicates a deficit",2019,Public sector finances: budget surplus/deficit (% of GDP),Forecast data has been derived using the trends of General government net lending/borrowing and Nominal GDP USD. Historical data has been directly sourced from NSOs.,Number,2013,170
-12.1%,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Data refers to budget surplus or deficit as percent of GDP. The indicator is calculated as the difference between total revenue and total expenditure, including capital expenditure (in particular, gross fixed capital formation). A positive figure indicates a surplus and a negative figure indicates a deficit",2019,Public sector finances: budget surplus/deficit (% of GDP),Forecast data has been derived using the trends of General government net lending/borrowing and Nominal GDP USD. Historical data has been directly sourced from NSOs.,Number,2014,170
-11.69%,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Data refers to budget surplus or deficit as percent of GDP. The indicator is calculated as the difference between total revenue and total expenditure, including capital expenditure (in particular, gross fixed capital formation). A positive figure indicates a surplus and a negative figure indicates a deficit",2019,Public sector finances: budget surplus/deficit (% of GDP),Forecast data has been derived using the trends of General government net lending/borrowing and Nominal GDP USD. Historical data has been directly sourced from NSOs.,Number,2015,170
-10.69%,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Data refers to budget surplus or deficit as percent of GDP. The indicator is calculated as the difference between total revenue and total expenditure, including capital expenditure (in particular, gross fixed capital formation). A positive figure indicates a surplus and a negative figure indicates a deficit",2019,Public sector finances: budget surplus/deficit (% of GDP),Forecast data has been derived using the trends of General government net lending/borrowing and Nominal GDP USD. Historical data has been directly sourced from NSOs.,Number,2012,170
-10.6%,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Data refers to budget surplus or deficit as percent of GDP. The indicator is calculated as the difference between total revenue and total expenditure, including capital expenditure (in particular, gross fixed capital formation). A positive figure indicates a surplus and a negative figure indicates a deficit",2019,Public sector finances: budget surplus/deficit (% of GDP),Forecast data has been derived using the trends of General government net lending/borrowing and Nominal GDP USD. Historical data has been directly sourced from NSOs.,Number,2017,170
-9%,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Data refers to budget surplus or deficit as percent of GDP. The indicator is calculated as the difference between total revenue and total expenditure, including capital expenditure (in particular, gross fixed capital formation). A positive figure indicates a surplus and a negative figure indicates a deficit",2019,Public sector finances: budget surplus/deficit (% of GDP),Forecast data has been derived using the trends of General government net lending/borrowing and Nominal GDP USD. Historical data has been directly sourced from NSOs.,Number,2003,170
-9.80%,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Data refers to budget surplus or deficit as percent of GDP. The indicator is calculated as the difference between total revenue and total expenditure, including capital expenditure (in particular, gross fixed capital formation). A positive figure indicates a surplus and a negative figure indicates a deficit",2019,Public sector finances: budget surplus/deficit (% of GDP),Forecast data has been derived using the trends of General government net lending/borrowing and Nominal GDP USD. Historical data has been directly sourced from NSOs.,Number,2011,170
-9.69%,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Data refers to budget surplus or deficit as percent of GDP. The indicator is calculated as the difference between total revenue and total expenditure, including capital expenditure (in particular, gross fixed capital formation). A positive figure indicates a surplus and a negative figure indicates a deficit",2019,Public sector finances: budget surplus/deficit (% of GDP),Forecast data has been derived using the trends of General government net lending/borrowing and Nominal GDP USD. Historical data has been directly sourced from NSOs.,Number,2018,170
-9.19%,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Data refers to budget surplus or deficit as percent of GDP. The indicator is calculated as the difference between total revenue and total expenditure, including capital expenditure (in particular, gross fixed capital formation). A positive figure indicates a surplus and a negative figure indicates a deficit",2019,Public sector finances: budget surplus/deficit (% of GDP),Forecast data has been derived using the trends of General government net lending/borrowing and Nominal GDP USD. Historical data has been directly sourced from NSOs.,Number,2006,170
