!DownloadDisplay,Copyright,Country,Dataset (Source/Database Name),Definition,Forecast Starts From,Indicators,Methodology Notes,Quantity,Year,Min. Sort order
"988,500","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Imports of goods and services consist of purchases, barter, or receipts of gifts or grants, of goods and services by residents from non- residents. The treatment of exports and imports in the System of National Accounts is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Imports of goods and services (LCU), ,Currency (EGP) - Millions,2017,17
729.29,"Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Imports of goods and services consist of purchases, barter, or receipts of gifts or grants, of goods and services by residents from non- residents. The treatment of exports and imports in the System of National Accounts is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Imports of goods and services (LCU), ,Currency (EGP) - Millions,1973,17
648.60,"Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Imports of goods and services consist of purchases, barter, or receipts of gifts or grants, of goods and services by residents from non- residents. The treatment of exports and imports in the System of National Accounts is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Imports of goods and services (LCU), ,Currency (EGP) - Millions,1972,17
612.29,"Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Imports of goods and services consist of purchases, barter, or receipts of gifts or grants, of goods and services by residents from non- residents. The treatment of exports and imports in the System of National Accounts is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Imports of goods and services (LCU), ,Currency (EGP) - Millions,1971,17
573.5,"Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Imports of goods and services consist of purchases, barter, or receipts of gifts or grants, of goods and services by residents from non- residents. The treatment of exports and imports in the System of National Accounts is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Imports of goods and services (LCU), ,Currency (EGP) - Millions,1970,17
"539,200","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Imports of goods and services consist of purchases, barter, or receipts of gifts or grants, of goods and services by residents from non- residents. The treatment of exports and imports in the System of National Accounts is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Imports of goods and services (LCU), ,Currency (EGP) - Millions,2016,17
"529,400","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Imports of goods and services consist of purchases, barter, or receipts of gifts or grants, of goods and services by residents from non- residents. The treatment of exports and imports in the System of National Accounts is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Imports of goods and services (LCU), ,Currency (EGP) - Millions,2015,17
499.49,"Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Imports of goods and services consist of purchases, barter, or receipts of gifts or grants, of goods and services by residents from non- residents. The treatment of exports and imports in the System of National Accounts is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Imports of goods and services (LCU), ,Currency (EGP) - Millions,1965,17
496.30,"Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Imports of goods and services consist of purchases, barter, or receipts of gifts or grants, of goods and services by residents from non- residents. The treatment of exports and imports in the System of National Accounts is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Imports of goods and services (LCU), ,Currency (EGP) - Millions,1969,17
492.19,"Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Imports of goods and services consist of purchases, barter, or receipts of gifts or grants, of goods and services by residents from non- residents. The treatment of exports and imports in the System of National Accounts is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Imports of goods and services (LCU), ,Currency (EGP) - Millions,1966,17
"483,000","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Imports of goods and services consist of purchases, barter, or receipts of gifts or grants, of goods and services by residents from non- residents. The treatment of exports and imports in the System of National Accounts is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Imports of goods and services (LCU), ,Currency (EGP) - Millions,2014,17
448.10,"Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Imports of goods and services consist of purchases, barter, or receipts of gifts or grants, of goods and services by residents from non- residents. The treatment of exports and imports in the System of National Accounts is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Imports of goods and services (LCU), ,Currency (EGP) - Millions,1967,17
444.5,"Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Imports of goods and services consist of purchases, barter, or receipts of gifts or grants, of goods and services by residents from non- residents. The treatment of exports and imports in the System of National Accounts is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Imports of goods and services (LCU), ,Currency (EGP) - Millions,1968,17
"434,500","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Imports of goods and services consist of purchases, barter, or receipts of gifts or grants, of goods and services by residents from non- residents. The treatment of exports and imports in the System of National Accounts is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Imports of goods and services (LCU), ,Currency (EGP) - Millions,2013,17
"407,200","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Imports of goods and services consist of purchases, barter, or receipts of gifts or grants, of goods and services by residents from non- residents. The treatment of exports and imports in the System of National Accounts is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Imports of goods and services (LCU), ,Currency (EGP) - Millions,2012,17
"346,000","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Imports of goods and services consist of purchases, barter, or receipts of gifts or grants, of goods and services by residents from non- residents. The treatment of exports and imports in the System of National Accounts is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Imports of goods and services (LCU), ,Currency (EGP) - Millions,2008,17
"338,500","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Imports of goods and services consist of purchases, barter, or receipts of gifts or grants, of goods and services by residents from non- residents. The treatment of exports and imports in the System of National Accounts is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Imports of goods and services (LCU), ,Currency (EGP) - Millions,2011,17
"329,300","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Imports of goods and services consist of purchases, barter, or receipts of gifts or grants, of goods and services by residents from non- residents. The treatment of exports and imports in the System of National Accounts is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Imports of goods and services (LCU), ,Currency (EGP) - Millions,2009,17
"320,800","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Imports of goods and services consist of purchases, barter, or receipts of gifts or grants, of goods and services by residents from non- residents. The treatment of exports and imports in the System of National Accounts is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Imports of goods and services (LCU), ,Currency (EGP) - Millions,2010,17
"259,400.00","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Imports of goods and services consist of purchases, barter, or receipts of gifts or grants, of goods and services by residents from non- residents. The treatment of exports and imports in the System of National Accounts is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Imports of goods and services (LCU), ,Currency (EGP) - Millions,2007,17
"194,999.99","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Imports of goods and services consist of purchases, barter, or receipts of gifts or grants, of goods and services by residents from non- residents. The treatment of exports and imports in the System of National Accounts is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Imports of goods and services (LCU), ,Currency (EGP) - Millions,2006,17
"175,600","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Imports of goods and services consist of purchases, barter, or receipts of gifts or grants, of goods and services by residents from non- residents. The treatment of exports and imports in the System of National Accounts is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Imports of goods and services (LCU), ,Currency (EGP) - Millions,2005,17
"143,600","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Imports of goods and services consist of purchases, barter, or receipts of gifts or grants, of goods and services by residents from non- residents. The treatment of exports and imports in the System of National Accounts is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Imports of goods and services (LCU), ,Currency (EGP) - Millions,2004,17
