!DownloadDisplay,Copyright,Country,Dataset (Source/Database Name),Definition,Forecast Starts From,Indicators,Methodology Notes,Quantity,Year,Min. Sort order
"110,350,689","Historical data has been sourced from 'Central Agency for Public Mobilization and Statistics - Egypt, United States Census Bureau and International Monetary Fund' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Central Agency for Public Mobilization and Statistics - Egypt, United States Census Bureau and International Monetary Fund",Mid-year population is defined as total population of all age groups who are residents in a given country at the middle of each year.,2018,Population,Data obtained from above mentioned sources is used to derive a base dataset for total mid year population. Estimates are derived using various time series techniques like auto regressive modeling and multiple-regression depending on the historic time trend in the data. Forecasts are derived by using trends in related variables from reliable sources.,People,2025,9
"108,520,642","Historical data has been sourced from 'Central Agency for Public Mobilization and Statistics - Egypt, United States Census Bureau and International Monetary Fund' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Central Agency for Public Mobilization and Statistics - Egypt, United States Census Bureau and International Monetary Fund",Mid-year population is defined as total population of all age groups who are residents in a given country at the middle of each year.,2018,Population,Data obtained from above mentioned sources is used to derive a base dataset for total mid year population. Estimates are derived using various time series techniques like auto regressive modeling and multiple-regression depending on the historic time trend in the data. Forecasts are derived by using trends in related variables from reliable sources.,People,2024,9
"106,680,500","Historical data has been sourced from 'Central Agency for Public Mobilization and Statistics - Egypt, United States Census Bureau and International Monetary Fund' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Central Agency for Public Mobilization and Statistics - Egypt, United States Census Bureau and International Monetary Fund",Mid-year population is defined as total population of all age groups who are residents in a given country at the middle of each year.,2018,Population,Data obtained from above mentioned sources is used to derive a base dataset for total mid year population. Estimates are derived using various time series techniques like auto regressive modeling and multiple-regression depending on the historic time trend in the data. Forecasts are derived by using trends in related variables from reliable sources.,People,2023,9
"104,823,836","Historical data has been sourced from 'Central Agency for Public Mobilization and Statistics - Egypt, United States Census Bureau and International Monetary Fund' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Central Agency for Public Mobilization and Statistics - Egypt, United States Census Bureau and International Monetary Fund",Mid-year population is defined as total population of all age groups who are residents in a given country at the middle of each year.,2018,Population,Data obtained from above mentioned sources is used to derive a base dataset for total mid year population. Estimates are derived using various time series techniques like auto regressive modeling and multiple-regression depending on the historic time trend in the data. Forecasts are derived by using trends in related variables from reliable sources.,People,2022,9
"102,945,356","Historical data has been sourced from 'Central Agency for Public Mobilization and Statistics - Egypt, United States Census Bureau and International Monetary Fund' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Central Agency for Public Mobilization and Statistics - Egypt, United States Census Bureau and International Monetary Fund",Mid-year population is defined as total population of all age groups who are residents in a given country at the middle of each year.,2018,Population,Data obtained from above mentioned sources is used to derive a base dataset for total mid year population. Estimates are derived using various time series techniques like auto regressive modeling and multiple-regression depending on the historic time trend in the data. Forecasts are derived by using trends in related variables from reliable sources.,People,2021,9
"101,040,900","Historical data has been sourced from 'Central Agency for Public Mobilization and Statistics - Egypt, United States Census Bureau and International Monetary Fund' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Central Agency for Public Mobilization and Statistics - Egypt, United States Census Bureau and International Monetary Fund",Mid-year population is defined as total population of all age groups who are residents in a given country at the middle of each year.,2018,Population,Data obtained from above mentioned sources is used to derive a base dataset for total mid year population. Estimates are derived using various time series techniques like auto regressive modeling and multiple-regression depending on the historic time trend in the data. Forecasts are derived by using trends in related variables from reliable sources.,People,2020,9
"99,117,183","Historical data has been sourced from 'Central Agency for Public Mobilization and Statistics - Egypt, United States Census Bureau and International Monetary Fund' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Central Agency for Public Mobilization and Statistics - Egypt, United States Census Bureau and International Monetary Fund",Mid-year population is defined as total population of all age groups who are residents in a given country at the middle of each year.,2018,Population,Data obtained from above mentioned sources is used to derive a base dataset for total mid year population. Estimates are derived using various time series techniques like auto regressive modeling and multiple-regression depending on the historic time trend in the data. Forecasts are derived by using trends in related variables from reliable sources.,People,2019,9
"97,174,390","Historical data has been sourced from 'Central Agency for Public Mobilization and Statistics - Egypt, United States Census Bureau and International Monetary Fund' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Central Agency for Public Mobilization and Statistics - Egypt, United States Census Bureau and International Monetary Fund",Mid-year population is defined as total population of all age groups who are residents in a given country at the middle of each year.,2018,Population,Data obtained from above mentioned sources is used to derive a base dataset for total mid year population. Estimates are derived using various time series techniques like auto regressive modeling and multiple-regression depending on the historic time trend in the data. Forecasts are derived by using trends in related variables from reliable sources.,People,2018,9
"95,203,000","Historical data has been sourced from 'Central Agency for Public Mobilization and Statistics - Egypt, United States Census Bureau and International Monetary Fund' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Central Agency for Public Mobilization and Statistics - Egypt, United States Census Bureau and International Monetary Fund",Mid-year population is defined as total population of all age groups who are residents in a given country at the middle of each year.,2018,Population,Data obtained from above mentioned sources is used to derive a base dataset for total mid year population. Estimates are derived using various time series techniques like auto regressive modeling and multiple-regression depending on the historic time trend in the data. Forecasts are derived by using trends in related variables from reliable sources.,People,2017,9
"91,023,000","Historical data has been sourced from 'Central Agency for Public Mobilization and Statistics - Egypt, United States Census Bureau and International Monetary Fund' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Central Agency for Public Mobilization and Statistics - Egypt, United States Census Bureau and International Monetary Fund",Mid-year population is defined as total population of all age groups who are residents in a given country at the middle of each year.,2018,Population,Data obtained from above mentioned sources is used to derive a base dataset for total mid year population. Estimates are derived using various time series techniques like auto regressive modeling and multiple-regression depending on the historic time trend in the data. Forecasts are derived by using trends in related variables from reliable sources.,People,2016,9
"88,958,000","Historical data has been sourced from 'Central Agency for Public Mobilization and Statistics - Egypt, United States Census Bureau and International Monetary Fund' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Central Agency for Public Mobilization and Statistics - Egypt, United States Census Bureau and International Monetary Fund",Mid-year population is defined as total population of all age groups who are residents in a given country at the middle of each year.,2018,Population,Data obtained from above mentioned sources is used to derive a base dataset for total mid year population. Estimates are derived using various time series techniques like auto regressive modeling and multiple-regression depending on the historic time trend in the data. Forecasts are derived by using trends in related variables from reliable sources.,People,2015,9
"86,814,000","Historical data has been sourced from 'Central Agency for Public Mobilization and Statistics - Egypt, United States Census Bureau and International Monetary Fund' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Central Agency for Public Mobilization and Statistics - Egypt, United States Census Bureau and International Monetary Fund",Mid-year population is defined as total population of all age groups who are residents in a given country at the middle of each year.,2018,Population,Data obtained from above mentioned sources is used to derive a base dataset for total mid year population. Estimates are derived using various time series techniques like auto regressive modeling and multiple-regression depending on the historic time trend in the data. Forecasts are derived by using trends in related variables from reliable sources.,People,2014,9
"84,629,000","Historical data has been sourced from 'Central Agency for Public Mobilization and Statistics - Egypt, United States Census Bureau and International Monetary Fund' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Central Agency for Public Mobilization and Statistics - Egypt, United States Census Bureau and International Monetary Fund",Mid-year population is defined as total population of all age groups who are residents in a given country at the middle of each year.,2018,Population,Data obtained from above mentioned sources is used to derive a base dataset for total mid year population. Estimates are derived using various time series techniques like auto regressive modeling and multiple-regression depending on the historic time trend in the data. Forecasts are derived by using trends in related variables from reliable sources.,People,2013,9
"82,305,000","Historical data has been sourced from 'Central Agency for Public Mobilization and Statistics - Egypt, United States Census Bureau and International Monetary Fund' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Central Agency for Public Mobilization and Statistics - Egypt, United States Census Bureau and International Monetary Fund",Mid-year population is defined as total population of all age groups who are residents in a given country at the middle of each year.,2018,Population,Data obtained from above mentioned sources is used to derive a base dataset for total mid year population. Estimates are derived using various time series techniques like auto regressive modeling and multiple-regression depending on the historic time trend in the data. Forecasts are derived by using trends in related variables from reliable sources.,People,2012,9
"80,530,000","Historical data has been sourced from 'Central Agency for Public Mobilization and Statistics - Egypt, United States Census Bureau and International Monetary Fund' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Central Agency for Public Mobilization and Statistics - Egypt, United States Census Bureau and International Monetary Fund",Mid-year population is defined as total population of all age groups who are residents in a given country at the middle of each year.,2018,Population,Data obtained from above mentioned sources is used to derive a base dataset for total mid year population. Estimates are derived using various time series techniques like auto regressive modeling and multiple-regression depending on the historic time trend in the data. Forecasts are derived by using trends in related variables from reliable sources.,People,2011,9
"78,685,000","Historical data has been sourced from 'Central Agency for Public Mobilization and Statistics - Egypt, United States Census Bureau and International Monetary Fund' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Central Agency for Public Mobilization and Statistics - Egypt, United States Census Bureau and International Monetary Fund",Mid-year population is defined as total population of all age groups who are residents in a given country at the middle of each year.,2018,Population,Data obtained from above mentioned sources is used to derive a base dataset for total mid year population. Estimates are derived using various time series techniques like auto regressive modeling and multiple-regression depending on the historic time trend in the data. Forecasts are derived by using trends in related variables from reliable sources.,People,2010,9
"76,925,000","Historical data has been sourced from 'Central Agency for Public Mobilization and Statistics - Egypt, United States Census Bureau and International Monetary Fund' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Central Agency for Public Mobilization and Statistics - Egypt, United States Census Bureau and International Monetary Fund",Mid-year population is defined as total population of all age groups who are residents in a given country at the middle of each year.,2018,Population,Data obtained from above mentioned sources is used to derive a base dataset for total mid year population. Estimates are derived using various time series techniques like auto regressive modeling and multiple-regression depending on the historic time trend in the data. Forecasts are derived by using trends in related variables from reliable sources.,People,2009,9
"75,194,000","Historical data has been sourced from 'Central Agency for Public Mobilization and Statistics - Egypt, United States Census Bureau and International Monetary Fund' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Central Agency for Public Mobilization and Statistics - Egypt, United States Census Bureau and International Monetary Fund",Mid-year population is defined as total population of all age groups who are residents in a given country at the middle of each year.,2018,Population,Data obtained from above mentioned sources is used to derive a base dataset for total mid year population. Estimates are derived using various time series techniques like auto regressive modeling and multiple-regression depending on the historic time trend in the data. Forecasts are derived by using trends in related variables from reliable sources.,People,2008,9
"73,644,000","Historical data has been sourced from 'Central Agency for Public Mobilization and Statistics - Egypt, United States Census Bureau and International Monetary Fund' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Central Agency for Public Mobilization and Statistics - Egypt, United States Census Bureau and International Monetary Fund",Mid-year population is defined as total population of all age groups who are residents in a given country at the middle of each year.,2018,Population,Data obtained from above mentioned sources is used to derive a base dataset for total mid year population. Estimates are derived using various time series techniques like auto regressive modeling and multiple-regression depending on the historic time trend in the data. Forecasts are derived by using trends in related variables from reliable sources.,People,2007,9
"72,008,000","Historical data has been sourced from 'Central Agency for Public Mobilization and Statistics - Egypt, United States Census Bureau and International Monetary Fund' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Central Agency for Public Mobilization and Statistics - Egypt, United States Census Bureau and International Monetary Fund",Mid-year population is defined as total population of all age groups who are residents in a given country at the middle of each year.,2018,Population,Data obtained from above mentioned sources is used to derive a base dataset for total mid year population. Estimates are derived using various time series techniques like auto regressive modeling and multiple-regression depending on the historic time trend in the data. Forecasts are derived by using trends in related variables from reliable sources.,People,2006,9
"70,653,000","Historical data has been sourced from 'Central Agency for Public Mobilization and Statistics - Egypt, United States Census Bureau and International Monetary Fund' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Central Agency for Public Mobilization and Statistics - Egypt, United States Census Bureau and International Monetary Fund",Mid-year population is defined as total population of all age groups who are residents in a given country at the middle of each year.,2018,Population,Data obtained from above mentioned sources is used to derive a base dataset for total mid year population. Estimates are derived using various time series techniques like auto regressive modeling and multiple-regression depending on the historic time trend in the data. Forecasts are derived by using trends in related variables from reliable sources.,People,2005,9
"69,303,000","Historical data has been sourced from 'Central Agency for Public Mobilization and Statistics - Egypt, United States Census Bureau and International Monetary Fund' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Central Agency for Public Mobilization and Statistics - Egypt, United States Census Bureau and International Monetary Fund",Mid-year population is defined as total population of all age groups who are residents in a given country at the middle of each year.,2018,Population,Data obtained from above mentioned sources is used to derive a base dataset for total mid year population. Estimates are derived using various time series techniques like auto regressive modeling and multiple-regression depending on the historic time trend in the data. Forecasts are derived by using trends in related variables from reliable sources.,People,2004,9
"67,964,000","Historical data has been sourced from 'Central Agency for Public Mobilization and Statistics - Egypt, United States Census Bureau and International Monetary Fund' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Central Agency for Public Mobilization and Statistics - Egypt, United States Census Bureau and International Monetary Fund",Mid-year population is defined as total population of all age groups who are residents in a given country at the middle of each year.,2018,Population,Data obtained from above mentioned sources is used to derive a base dataset for total mid year population. Estimates are derived using various time series techniques like auto regressive modeling and multiple-regression depending on the historic time trend in the data. Forecasts are derived by using trends in related variables from reliable sources.,People,2003,9
