!DownloadDisplay,Copyright,Country,Dataset (Source/Database Name),Definition,Forecast Starts From,Indicators,Methodology Notes,Quantity,Year,Min. Sort order
"158,914.99","Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,2025,172
"141,351.88","Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,2024,172
"124,001.57","Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,2023,172
"110,798.42","Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,2022,172
"108,877.96","Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,2016,172
"107,359.28","Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,2014,172
"104,785.06","Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,2015,172
"101,426.26","Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,2021,172
"93,748.11","Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,2013,172
"93,636.47","Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,2020,172
