!DownloadDisplay,Copyright,Country,Dataset (Source/Database Name),Definition,Forecast Starts From,Indicators,Methodology Notes,Quantity,Year,Min. Sort order
"133,616.77","Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,2025,171
"118,733.95","Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,2024,171
"104,689.94","Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,2023,171
"92,416.19","Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,2022,171
"80,862.48","Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,2021,171
"73,393.29","Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,2014,171
"70,496.45","Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,2020,171
"69,998.68","Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,2015,171
"67,372.44","Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,2016,171
"60,810.00","Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,2019,171
