!DownloadDisplay,Copyright,Country,Dataset (Source/Database Name),Definition,Forecast Starts From,Indicators,Methodology Notes,Quantity,Year,Min. Sort order
-26.58%,"The data has been calculated by GlobalData based on information from UNSTATS. All content on the site is  owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,UNSTATS,"Construction represents the economic activities of general construction and special trade construction for buildings and civil engineering, building installation and building completion. It includes new work, repair, additions and alterations, the erection of prefabricated buildings or structures on the site and also construction of a temporary nature.General construction is the construction of entire dwellings, office buildings, stores and other public and utility buildings, farm buildings etc., or the construction of heavy constructions such as motorways, streets, bridges, tunnels, railways, airfields, harbours and other water projects, irrigation systems, sewerage systems, industrial facilities, pipelines and electric lines, sports facilities etc.Special trade construction includes the construction of parts of buildings and civil engineering works or preparation therefor. It is usually specialized in one aspect common to different structures, requiring specialized skills or equipment. Activities such as pile-driving, foundation work, water well drilling, carcass work, concrete work, bricklaying, stone setting, scaffolding, roof covering etc., are covered. The Data is given in Current Prices in Local Currency.", ,Real GVA growth: construction, ,Number,1974,98
-9.74%,"The data has been calculated by GlobalData based on information from UNSTATS. All content on the site is  owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,UNSTATS,"Construction represents the economic activities of general construction and special trade construction for buildings and civil engineering, building installation and building completion. It includes new work, repair, additions and alterations, the erection of prefabricated buildings or structures on the site and also construction of a temporary nature.General construction is the construction of entire dwellings, office buildings, stores and other public and utility buildings, farm buildings etc., or the construction of heavy constructions such as motorways, streets, bridges, tunnels, railways, airfields, harbours and other water projects, irrigation systems, sewerage systems, industrial facilities, pipelines and electric lines, sports facilities etc.Special trade construction includes the construction of parts of buildings and civil engineering works or preparation therefor. It is usually specialized in one aspect common to different structures, requiring specialized skills or equipment. Activities such as pile-driving, foundation work, water well drilling, carcass work, concrete work, bricklaying, stone setting, scaffolding, roof covering etc., are covered. The Data is given in Current Prices in Local Currency.", ,Real GVA growth: construction, ,Number,1997,98
-5.17%,"The data has been calculated by GlobalData based on information from UNSTATS. All content on the site is  owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,UNSTATS,"Construction represents the economic activities of general construction and special trade construction for buildings and civil engineering, building installation and building completion. It includes new work, repair, additions and alterations, the erection of prefabricated buildings or structures on the site and also construction of a temporary nature.General construction is the construction of entire dwellings, office buildings, stores and other public and utility buildings, farm buildings etc., or the construction of heavy constructions such as motorways, streets, bridges, tunnels, railways, airfields, harbours and other water projects, irrigation systems, sewerage systems, industrial facilities, pipelines and electric lines, sports facilities etc.Special trade construction includes the construction of parts of buildings and civil engineering works or preparation therefor. It is usually specialized in one aspect common to different structures, requiring specialized skills or equipment. Activities such as pile-driving, foundation work, water well drilling, carcass work, concrete work, bricklaying, stone setting, scaffolding, roof covering etc., are covered. The Data is given in Current Prices in Local Currency.", ,Real GVA growth: construction, ,Number,2003,98
-3.87%,"The data has been calculated by GlobalData based on information from UNSTATS. All content on the site is  owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,UNSTATS,"Construction represents the economic activities of general construction and special trade construction for buildings and civil engineering, building installation and building completion. It includes new work, repair, additions and alterations, the erection of prefabricated buildings or structures on the site and also construction of a temporary nature.General construction is the construction of entire dwellings, office buildings, stores and other public and utility buildings, farm buildings etc., or the construction of heavy constructions such as motorways, streets, bridges, tunnels, railways, airfields, harbours and other water projects, irrigation systems, sewerage systems, industrial facilities, pipelines and electric lines, sports facilities etc.Special trade construction includes the construction of parts of buildings and civil engineering works or preparation therefor. It is usually specialized in one aspect common to different structures, requiring specialized skills or equipment. Activities such as pile-driving, foundation work, water well drilling, carcass work, concrete work, bricklaying, stone setting, scaffolding, roof covering etc., are covered. The Data is given in Current Prices in Local Currency.", ,Real GVA growth: construction, ,Number,1977,98
-2.45%,"The data has been calculated by GlobalData based on information from UNSTATS. All content on the site is  owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,UNSTATS,"Construction represents the economic activities of general construction and special trade construction for buildings and civil engineering, building installation and building completion. It includes new work, repair, additions and alterations, the erection of prefabricated buildings or structures on the site and also construction of a temporary nature.General construction is the construction of entire dwellings, office buildings, stores and other public and utility buildings, farm buildings etc., or the construction of heavy constructions such as motorways, streets, bridges, tunnels, railways, airfields, harbours and other water projects, irrigation systems, sewerage systems, industrial facilities, pipelines and electric lines, sports facilities etc.Special trade construction includes the construction of parts of buildings and civil engineering works or preparation therefor. It is usually specialized in one aspect common to different structures, requiring specialized skills or equipment. Activities such as pile-driving, foundation work, water well drilling, carcass work, concrete work, bricklaying, stone setting, scaffolding, roof covering etc., are covered. The Data is given in Current Prices in Local Currency.", ,Real GVA growth: construction, ,Number,1987,98
66.09%,"The data has been calculated by GlobalData based on information from UNSTATS. All content on the site is  owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,UNSTATS,"Construction represents the economic activities of general construction and special trade construction for buildings and civil engineering, building installation and building completion. It includes new work, repair, additions and alterations, the erection of prefabricated buildings or structures on the site and also construction of a temporary nature.General construction is the construction of entire dwellings, office buildings, stores and other public and utility buildings, farm buildings etc., or the construction of heavy constructions such as motorways, streets, bridges, tunnels, railways, airfields, harbours and other water projects, irrigation systems, sewerage systems, industrial facilities, pipelines and electric lines, sports facilities etc.Special trade construction includes the construction of parts of buildings and civil engineering works or preparation therefor. It is usually specialized in one aspect common to different structures, requiring specialized skills or equipment. Activities such as pile-driving, foundation work, water well drilling, carcass work, concrete work, bricklaying, stone setting, scaffolding, roof covering etc., are covered. The Data is given in Current Prices in Local Currency.", ,Real GVA growth: construction, ,Number,1976,98
29.87%,"The data has been calculated by GlobalData based on information from UNSTATS. All content on the site is  owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,UNSTATS,"Construction represents the economic activities of general construction and special trade construction for buildings and civil engineering, building installation and building completion. It includes new work, repair, additions and alterations, the erection of prefabricated buildings or structures on the site and also construction of a temporary nature.General construction is the construction of entire dwellings, office buildings, stores and other public and utility buildings, farm buildings etc., or the construction of heavy constructions such as motorways, streets, bridges, tunnels, railways, airfields, harbours and other water projects, irrigation systems, sewerage systems, industrial facilities, pipelines and electric lines, sports facilities etc.Special trade construction includes the construction of parts of buildings and civil engineering works or preparation therefor. It is usually specialized in one aspect common to different structures, requiring specialized skills or equipment. Activities such as pile-driving, foundation work, water well drilling, carcass work, concrete work, bricklaying, stone setting, scaffolding, roof covering etc., are covered. The Data is given in Current Prices in Local Currency.", ,Real GVA growth: construction, ,Number,1979,98
20.86%,"The data has been calculated by GlobalData based on information from UNSTATS. All content on the site is  owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,UNSTATS,"Construction represents the economic activities of general construction and special trade construction for buildings and civil engineering, building installation and building completion. It includes new work, repair, additions and alterations, the erection of prefabricated buildings or structures on the site and also construction of a temporary nature.General construction is the construction of entire dwellings, office buildings, stores and other public and utility buildings, farm buildings etc., or the construction of heavy constructions such as motorways, streets, bridges, tunnels, railways, airfields, harbours and other water projects, irrigation systems, sewerage systems, industrial facilities, pipelines and electric lines, sports facilities etc.Special trade construction includes the construction of parts of buildings and civil engineering works or preparation therefor. It is usually specialized in one aspect common to different structures, requiring specialized skills or equipment. Activities such as pile-driving, foundation work, water well drilling, carcass work, concrete work, bricklaying, stone setting, scaffolding, roof covering etc., are covered. The Data is given in Current Prices in Local Currency.", ,Real GVA growth: construction, ,Number,1975,98
15.84%,"The data has been calculated by GlobalData based on information from UNSTATS. All content on the site is  owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,UNSTATS,"Construction represents the economic activities of general construction and special trade construction for buildings and civil engineering, building installation and building completion. It includes new work, repair, additions and alterations, the erection of prefabricated buildings or structures on the site and also construction of a temporary nature.General construction is the construction of entire dwellings, office buildings, stores and other public and utility buildings, farm buildings etc., or the construction of heavy constructions such as motorways, streets, bridges, tunnels, railways, airfields, harbours and other water projects, irrigation systems, sewerage systems, industrial facilities, pipelines and electric lines, sports facilities etc.Special trade construction includes the construction of parts of buildings and civil engineering works or preparation therefor. It is usually specialized in one aspect common to different structures, requiring specialized skills or equipment. Activities such as pile-driving, foundation work, water well drilling, carcass work, concrete work, bricklaying, stone setting, scaffolding, roof covering etc., are covered. The Data is given in Current Prices in Local Currency.", ,Real GVA growth: construction, ,Number,2007,98
15.66%,"The data has been calculated by GlobalData based on information from UNSTATS. All content on the site is  owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,UNSTATS,"Construction represents the economic activities of general construction and special trade construction for buildings and civil engineering, building installation and building completion. It includes new work, repair, additions and alterations, the erection of prefabricated buildings or structures on the site and also construction of a temporary nature.General construction is the construction of entire dwellings, office buildings, stores and other public and utility buildings, farm buildings etc., or the construction of heavy constructions such as motorways, streets, bridges, tunnels, railways, airfields, harbours and other water projects, irrigation systems, sewerage systems, industrial facilities, pipelines and electric lines, sports facilities etc.Special trade construction includes the construction of parts of buildings and civil engineering works or preparation therefor. It is usually specialized in one aspect common to different structures, requiring specialized skills or equipment. Activities such as pile-driving, foundation work, water well drilling, carcass work, concrete work, bricklaying, stone setting, scaffolding, roof covering etc., are covered. The Data is given in Current Prices in Local Currency.", ,Real GVA growth: construction, ,Number,2008,98
