!DownloadDisplay,Copyright,Country,Dataset (Source/Database Name),Definition,Forecast Starts From,Indicators,Methodology Notes,Quantity,Year,Min. Sort order
13.19,"The data has been estimated by GlobalData based on information from 'Central Agency Arab Republic of Egypt, International Labor Organization and International Monetary Fund'. All content on the site is  owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Central Agency Arab Republic of Egypt, International Labor Organization and International Monetary Fund","Unemployment refers to a state when an individual of working age who is willing and able to work remains without a job for the period under consideration. As such persons falling outside the purview of Labour force, such as students or retired persons are not considered as part of the unemployed population, even though they may not be engaged in any economic activity",2019,Unemployment rate,"Data forecasted using simple linear regression method, IMF forecast rates and historical trends are referred for future growth rates estimation.",Number,2013,10
13,"The data has been estimated by GlobalData based on information from 'Central Agency Arab Republic of Egypt, International Labor Organization and International Monetary Fund'. All content on the site is  owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Central Agency Arab Republic of Egypt, International Labor Organization and International Monetary Fund","Unemployment refers to a state when an individual of working age who is willing and able to work remains without a job for the period under consideration. As such persons falling outside the purview of Labour force, such as students or retired persons are not considered as part of the unemployed population, even though they may not be engaged in any economic activity",2019,Unemployment rate,"Data forecasted using simple linear regression method, IMF forecast rates and historical trends are referred for future growth rates estimation.",Number,2014,10
12.80,"The data has been estimated by GlobalData based on information from 'Central Agency Arab Republic of Egypt, International Labor Organization and International Monetary Fund'. All content on the site is  owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Central Agency Arab Republic of Egypt, International Labor Organization and International Monetary Fund","Unemployment refers to a state when an individual of working age who is willing and able to work remains without a job for the period under consideration. As such persons falling outside the purview of Labour force, such as students or retired persons are not considered as part of the unemployed population, even though they may not be engaged in any economic activity",2019,Unemployment rate,"Data forecasted using simple linear regression method, IMF forecast rates and historical trends are referred for future growth rates estimation.",Number,2015,10
12.69,"The data has been estimated by GlobalData based on information from 'Central Agency Arab Republic of Egypt, International Labor Organization and International Monetary Fund'. All content on the site is  owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Central Agency Arab Republic of Egypt, International Labor Organization and International Monetary Fund","Unemployment refers to a state when an individual of working age who is willing and able to work remains without a job for the period under consideration. As such persons falling outside the purview of Labour force, such as students or retired persons are not considered as part of the unemployed population, even though they may not be engaged in any economic activity",2019,Unemployment rate,"Data forecasted using simple linear regression method, IMF forecast rates and historical trends are referred for future growth rates estimation.",Number,2012,10
12.5,"The data has been estimated by GlobalData based on information from 'Central Agency Arab Republic of Egypt, International Labor Organization and International Monetary Fund'. All content on the site is  owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Central Agency Arab Republic of Egypt, International Labor Organization and International Monetary Fund","Unemployment refers to a state when an individual of working age who is willing and able to work remains without a job for the period under consideration. As such persons falling outside the purview of Labour force, such as students or retired persons are not considered as part of the unemployed population, even though they may not be engaged in any economic activity",2019,Unemployment rate,"Data forecasted using simple linear regression method, IMF forecast rates and historical trends are referred for future growth rates estimation.",Number,2016,10
12,"The data has been estimated by GlobalData based on information from 'Central Agency Arab Republic of Egypt, International Labor Organization and International Monetary Fund'. All content on the site is  owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Central Agency Arab Republic of Egypt, International Labor Organization and International Monetary Fund","Unemployment refers to a state when an individual of working age who is willing and able to work remains without a job for the period under consideration. As such persons falling outside the purview of Labour force, such as students or retired persons are not considered as part of the unemployed population, even though they may not be engaged in any economic activity",2019,Unemployment rate,"Data forecasted using simple linear regression method, IMF forecast rates and historical trends are referred for future growth rates estimation.",Number,2011,10
11.80,"The data has been estimated by GlobalData based on information from 'Central Agency Arab Republic of Egypt, International Labor Organization and International Monetary Fund'. All content on the site is  owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Central Agency Arab Republic of Egypt, International Labor Organization and International Monetary Fund","Unemployment refers to a state when an individual of working age who is willing and able to work remains without a job for the period under consideration. As such persons falling outside the purview of Labour force, such as students or retired persons are not considered as part of the unemployed population, even though they may not be engaged in any economic activity",2019,Unemployment rate,"Data forecasted using simple linear regression method, IMF forecast rates and historical trends are referred for future growth rates estimation.",Number,2017,10
11.30,"The data has been estimated by GlobalData based on information from 'Central Agency Arab Republic of Egypt, International Labor Organization and International Monetary Fund'. All content on the site is  owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Central Agency Arab Republic of Egypt, International Labor Organization and International Monetary Fund","Unemployment refers to a state when an individual of working age who is willing and able to work remains without a job for the period under consideration. As such persons falling outside the purview of Labour force, such as students or retired persons are not considered as part of the unemployed population, even though they may not be engaged in any economic activity",2019,Unemployment rate,"Data forecasted using simple linear regression method, IMF forecast rates and historical trends are referred for future growth rates estimation.",Number,1995,10
11.19,"The data has been estimated by GlobalData based on information from 'Central Agency Arab Republic of Egypt, International Labor Organization and International Monetary Fund'. All content on the site is  owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Central Agency Arab Republic of Egypt, International Labor Organization and International Monetary Fund","Unemployment refers to a state when an individual of working age who is willing and able to work remains without a job for the period under consideration. As such persons falling outside the purview of Labour force, such as students or retired persons are not considered as part of the unemployed population, even though they may not be engaged in any economic activity",2019,Unemployment rate,"Data forecasted using simple linear regression method, IMF forecast rates and historical trends are referred for future growth rates estimation.",Number,2005,10
11.1,"The data has been estimated by GlobalData based on information from 'Central Agency Arab Republic of Egypt, International Labor Organization and International Monetary Fund'. All content on the site is  owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Central Agency Arab Republic of Egypt, International Labor Organization and International Monetary Fund","Unemployment refers to a state when an individual of working age who is willing and able to work remains without a job for the period under consideration. As such persons falling outside the purview of Labour force, such as students or retired persons are not considered as part of the unemployed population, even though they may not be engaged in any economic activity",2019,Unemployment rate,"Data forecasted using simple linear regression method, IMF forecast rates and historical trends are referred for future growth rates estimation.",Number,1994,10
